"Crash.Date","Crash.Day.Of.Week","Crash.Time","Driver.DOB","Driver.Sex","County.Name","Municipality.Name","Total.Killed","Total.Injured","Total.Vehicles.Involve","Alcohol.Involved","Alcohol.Test.Given","Alcohol.Test.Results","Cell.Phone.In.Use.Flag","Crash.Location","Cross.Street.Name","Latitude","Longitude","Year","Driver.Age","Crash.Hour","Crash.Weekday","Crash.Weekend"
"06/30/2006","F","20:39","          "," ","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","VANDEVENTER AVENUE",40.35025,-74.65756,2006,NA,20,FALSE,FALSE
"07/01/2006","SA","13:29","03/11/1979","F","MERCER","PRINCETON BORO",0,0,2,"Y","N",NA,"N","MERCER COUNTY 604","RT 206",40.34286,-74.67212,2006,27,13,FALSE,TRUE
"07/01/2006","SA","13:29","06/06/1954","M","MERCER","PRINCETON BORO",0,0,2,"Y","Y","0","N","MERCER COUNTY 604","RT 206",40.34286,-74.67212,2006,52,13,FALSE,TRUE
"07/05/2006","W","12:20","03/13/1952","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","HODGE ROAD",40.35327,-74.6679,2006,54,12,FALSE,FALSE
"07/05/2006","W","12:20","07/20/1987","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","HODGE ROAD",40.35327,-74.6679,2006,18,12,FALSE,FALSE
"07/06/2006","TH","11:34","02/02/1969","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","MORAN AVENUE",40.35169,-74.65298,2006,37,11,TRUE,FALSE
"07/06/2006","TH","11:34","11/21/1967","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","MORAN AVENUE",40.35169,-74.65298,2006,38,11,TRUE,FALSE
"07/11/2006","TU","13:42","07/05/1988","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","HARRISON STREET",40.35399,-74.64536,2006,18,13,TRUE,FALSE
"07/11/2006","TU","13:42","09/12/1949","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","HARRISON STREET",40.35399,-74.64536,2006,56,13,TRUE,FALSE
"07/11/2006","TU","16:19","01/23/1951","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","WITHERSPOON ST","HULFISH STREET",40.35117,-74.66041,2006,55,16,TRUE,FALSE
"07/11/2006","TU","16:19","04/10/1928","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","WITHERSPOON ST","HULFISH STREET",40.35117,-74.66041,2006,78,16,TRUE,FALSE
"07/16/2006","S","12:20","04/26/1929","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","CHAMBERS STREET",40.34886,-74.66258,2006,77,12,FALSE,FALSE
"07/16/2006","S","12:20","04/08/1963","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","CHAMBERS STREET",40.34886,-74.66258,2006,43,12,FALSE,FALSE
"07/17/2006","M","22:01","          "," ","MERCER","PRINCETON BORO",0,0,2,"N"," ",NA,"N","NJ 27","PINE STREET",40.35223,-74.65121,2006,NA,22,FALSE,FALSE
"07/17/2006","M","22:01","05/11/1988","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","PINE STREET",40.35223,-74.65121,2006,18,22,FALSE,FALSE
"07/24/2006","M","17:21","04/29/1956","F","MERCER","PRINCETON BORO",0,0,1,"N","N",NA,"N","NJ 27","SOUTH TULANE STREET",40.34996,-74.65863,2006,50,17,FALSE,FALSE
"07/28/2006","F","22:16","04/02/1973","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","ROUTE 583","ALEXANDER STREET",40.34655,-74.66468,2006,33,22,FALSE,FALSE
"07/28/2006","F","22:16","07/20/1986","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","ROUTE 583","ALEXANDER STREET",40.34655,-74.66468,2006,20,22,FALSE,FALSE
"07/29/2006","SA","14:41","03/28/1954","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","PALMER SQAURE EAST",40.34932,-74.66097,2006,52,14,FALSE,TRUE
"07/29/2006","SA","14:41","03/03/1966","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","PALMER SQAURE EAST",40.34932,-74.66097,2006,40,14,FALSE,TRUE
"01/26/2006","TH","12:12","09/10/1985","F","MERCER","PRINCETON BORO",0,1,2,"N","N",NA,"N","MERCER COUNTY 604","CLEVELAND LANE",40.34791,-74.67593,2006,20,12,TRUE,FALSE
"01/26/2006","TH","12:12","06/12/1959","F","MERCER","PRINCETON BORO",0,1,2,"N","N",NA,"N","MERCER COUNTY 604","CLEVELAND LANE",40.34791,-74.67593,2006,46,12,TRUE,FALSE
"08/04/2006","F","19:33","06/25/1975","M","MERCER","PRINCETON BORO",0,2,3,"N","N",NA,"N","US 206","BOUDINOT STREET",40.35173,-74.66678,2006,31,19,FALSE,FALSE
"08/04/2006","F","19:33","01/05/1966","M","MERCER","PRINCETON BORO",0,2,3,"N","N",NA,"N","US 206","BOUDINOT STREET",40.35173,-74.66678,2006,40,19,FALSE,FALSE
"08/04/2006","F","19:33","07/15/1955","F","MERCER","PRINCETON BORO",0,2,3,"N","N",NA,"N","US 206","BOUDINOT STREET",40.35173,-74.66678,2006,51,19,FALSE,FALSE
"01/26/2006","TH","14:50","08/24/1985","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","WITHERSPOON STREET",40.34957,-74.66007,2006,20,14,TRUE,FALSE
"01/26/2006","TH","14:50","08/11/1954","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","WITHERSPOON STREET",40.34957,-74.66007,2006,51,14,TRUE,FALSE
"08/05/2006","SA","14:31","02/21/1976","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","HODGE ROAD",40.35327,-74.6679,2006,30,14,FALSE,TRUE
"08/05/2006","SA","14:31","10/19/1988","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","HODGE ROAD",40.35327,-74.6679,2006,17,14,FALSE,TRUE
"08/08/2006","TU","16:24","          "," ","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","ALEXANDER RD","UNIVERSITY PLACE",40.34286,-74.6608,2006,NA,16,TRUE,FALSE
"08/08/2006","TU","16:24","          "," ","MERCER","PRINCETON BORO",0,0,2,"N"," ",NA,"N","ALEXANDER RD","UNIVERSITY PLACE",40.34286,-74.6608,2006,NA,16,TRUE,FALSE
"08/08/2006","TU","18:36","04/26/1963","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","UNIVERSITY PLACE","ALEXANDER STREET",40.34295,-74.66087,2006,43,18,TRUE,FALSE
"08/08/2006","TU","18:36","12/30/1987","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","UNIVERSITY PLACE","ALEXANDER STREET",40.34295,-74.66087,2006,18,18,TRUE,FALSE
"08/09/2006","W","07:02","01/13/1970","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","LOVERS LANE",40.34368,-74.67116,2006,36,7,FALSE,FALSE
"08/09/2006","W","07:02","06/06/1916","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","LOVERS LANE",40.34368,-74.67116,2006,90,7,FALSE,FALSE
"08/10/2006","TH","09:07","10/25/1976","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","S HARRISON ST","RT 27",40.35397,-74.64554,2006,29,9,TRUE,FALSE
"08/10/2006","TH","09:07","05/05/1986","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","S HARRISON ST","RT 27",40.35397,-74.64554,2006,20,9,TRUE,FALSE
"08/14/2006","M","18:49","01/18/1981","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","UNIVERSITY PLACE","ALEXANDER STREET",40.34295,-74.66087,2006,25,18,FALSE,FALSE
"08/14/2006","M","18:49","06/09/1954","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","UNIVERSITY PLACE","ALEXANDER STREET",40.34295,-74.66087,2006,52,18,FALSE,FALSE
"08/16/2006","W","17:01","07/24/1985","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","WITHERSPOON ST","QUARRY STREET",40.35325,-74.66129,2006,21,17,FALSE,FALSE
"08/16/2006","W","17:01","03/13/1984","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","WITHERSPOON ST","QUARRY STREET",40.35325,-74.66129,2006,22,17,FALSE,FALSE
"01/27/2006","F","14:57","08/24/1969","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","UNIVERSITY PLACE","EDWARDS PLACE",40.34679,-74.66169,2006,36,14,FALSE,FALSE
"01/27/2006","F","14:57","06/08/1984","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","UNIVERSITY PLACE","EDWARDS PLACE",40.34679,-74.66169,2006,21,14,FALSE,FALSE
"08/21/2006","M","09:17","03/20/1961","F","MERCER","PRINCETON BORO",0,1,2,"N","N",NA,"N","S HARRISON ST","PROSPECT AVENUE",40.35114,-74.64335,2006,45,9,FALSE,FALSE
"08/21/2006","M","09:17","10/31/1988","F","MERCER","PRINCETON BORO",0,1,2,"N","N",NA,"N","S HARRISON ST","PROSPECT AVENUE",40.35114,-74.64335,2006,17,9,FALSE,FALSE
"08/21/2006","M","13:22","01/25/1982","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","WITHERSPOON ST","RT 27",40.34966,-74.65974,2006,24,13,FALSE,FALSE
"08/21/2006","M","13:22","          "," ","MERCER","PRINCETON BORO",0,0,2,"N"," ",NA,"N","WITHERSPOON ST","RT 27",40.34966,-74.65974,2006,NA,13,FALSE,FALSE
"08/23/2006","W","09:08","10/17/1976","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","MORAN AVENUE",40.35164,-74.65315,2006,29,9,FALSE,FALSE
"08/23/2006","W","09:08","05/07/1988","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","MORAN AVENUE",40.35164,-74.65315,2006,18,9,FALSE,FALSE
"08/23/2006","W","13:12","01/04/1942","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","MOORE STREET",40.3512,-74.65457,2006,64,13,FALSE,FALSE
"08/23/2006","W","13:12","          "," ","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","MOORE STREET",40.3512,-74.65457,2006,NA,13,FALSE,FALSE
"01/28/2006","SA","08:41","03/12/1960","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","RT 206",40.34827,-74.66452,2006,45,8,FALSE,TRUE
"01/28/2006","SA","08:41","08/06/1931","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","RT 206",40.34827,-74.66452,2006,74,8,FALSE,TRUE
"01/28/2006","SA","14:08","08/14/1951","M","MERCER","PRINCETON BORO",0,1,2,"N","R",NA,"N","NJ 27","CHESTNUT STREET",40.35191,-74.65227,2006,54,14,FALSE,TRUE
"01/28/2006","SA","14:08","11/27/1965","F","MERCER","PRINCETON BORO",0,1,2,"N","N",NA,"N","NJ 27","CHESTNUT STREET",40.35191,-74.65227,2006,40,14,FALSE,TRUE
"08/31/2006","TH","17:32","09/09/1949","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","HIBBEN ROAD",40.34622,-74.66782,2006,57,17,TRUE,FALSE
"08/31/2006","TH","17:32","11/07/1983","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","HIBBEN ROAD",40.34622,-74.66782,2006,22,17,TRUE,FALSE
"09/04/2006","M","04:29","10/31/1971","F","MERCER","PRINCETON BORO",0,0,1,"N","N",NA,"N","NJ 27","PINE STREET",40.35228,-74.65104,2006,34,4,FALSE,FALSE
"09/06/2006","W","07:53","04/04/1954","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","S HARRISON ST","PROSPECT AVENUE",40.35114,-74.64335,2006,52,7,FALSE,FALSE
"09/06/2006","W","07:53","01/07/1927","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","S HARRISON ST","PROSPECT AVENUE",40.35114,-74.64335,2006,79,7,FALSE,FALSE
"09/09/2006","SA","19:30","08/19/1964","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","CR 604",40.34463,-74.67027,2006,42,19,FALSE,TRUE
"09/09/2006","SA","19:30","05/19/1988","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","CR 604",40.34463,-74.67027,2006,18,19,FALSE,TRUE
"09/11/2006","M","13:52","          "," ","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","TULANE STREET",40.35015,-74.65792,2006,NA,13,FALSE,FALSE
"09/11/2006","M","13:52","10/08/1971","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","TULANE STREET",40.35015,-74.65792,2006,34,13,FALSE,FALSE
"09/14/2006","TH","08:19","07/18/1980","F","MERCER","PRINCETON BORO",0,2,2,"N","N",NA,"N","WITHERSPOON ST","FRANKLIN AVENUE",40.35587,-74.66242,2006,26,8,TRUE,FALSE
"09/14/2006","TH","08:19","03/01/1970","M","MERCER","PRINCETON BORO",0,2,2,"N","N",NA,"N","WITHERSPOON ST","FRANKLIN AVENUE",40.35587,-74.66242,2006,36,8,TRUE,FALSE
"09/14/2006","TH","15:11","10/16/1951","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","PROSPECT AVE","CR 571",40.3478,-74.65504,2006,54,15,TRUE,FALSE
"09/14/2006","TH","15:11","          "," ","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","PROSPECT AVE","CR 571",40.3478,-74.65504,2006,NA,15,TRUE,FALSE
"09/16/2006","SA","13:18","09/14/1989","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","CR 604",40.34463,-74.67027,2006,17,13,FALSE,TRUE
"09/16/2006","SA","13:18","07/05/1960","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","CR 604",40.34463,-74.67027,2006,46,13,FALSE,TRUE
"09/20/2006","W","15:39","07/07/1971","M","MERCER","PRINCETON BORO",0,0,1,"N","N",NA,"N","S HARRISON ST","PATTON AVENUE",40.35175,-74.64382,2006,35,15,FALSE,FALSE
"01/04/2006","W","12:21","07/25/1982","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","CR 583",40.34856,-74.66364,2006,23,12,FALSE,FALSE
"01/04/2006","W","12:21","03/30/1977","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","CR 583",40.34856,-74.66364,2006,28,12,FALSE,FALSE
"09/18/2006","M","17:34","06/30/1948","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","CLEVELAND LANE",40.35478,-74.66907,2006,58,17,FALSE,FALSE
"09/18/2006","M","17:34","08/18/1954","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","CLEVELAND LANE",40.35478,-74.66907,2006,52,17,FALSE,FALSE
"09/19/2006","TU","07:46","03/28/1950","M","MERCER","PRINCETON BORO",0,1,2,"N","N",NA,"N","US 206","LIBRARY PLACE",40.3478,-74.66507,2006,56,7,TRUE,FALSE
"09/19/2006","TU","07:46","05/01/1960","M","MERCER","PRINCETON BORO",0,1,2,"N","N",NA,"N","US 206","LIBRARY PLACE",40.3478,-74.66507,2006,46,7,TRUE,FALSE
"09/19/2006","TU","12:51","12/12/1958","F","MERCER","PRINCETON BORO",0,1,2,"N","N",NA,"N","NJ 27","HARRISON STREET",40.35394,-74.64554,2006,47,12,TRUE,FALSE
"09/19/2006","TU","12:51","10/30/1930","M","MERCER","PRINCETON BORO",0,1,2,"N","N",NA,"N","NJ 27","HARRISON STREET",40.35394,-74.64554,2006,75,12,TRUE,FALSE
"09/20/2006","W","09:35","09/24/1935","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","WESCOTT ROAD",40.35593,-74.66986,2006,71,9,FALSE,FALSE
"09/20/2006","W","09:35","11/29/1932","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","WESCOTT ROAD",40.35593,-74.66986,2006,73,9,FALSE,FALSE
"09/22/2006","F","18:28","06/29/1966","F","MERCER","PRINCETON BORO",0,0,2,"N"," ",NA,"N","UNIVERSITY PLACE","COLLEGE ROAD",40.34471,-74.66026,2006,40,18,FALSE,FALSE
"09/22/2006","F","18:28","          "," ","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","UNIVERSITY PLACE","COLLEGE ROAD",40.34471,-74.66026,2006,NA,18,FALSE,FALSE
"09/29/2006","F","13:09","03/15/1947","M","MERCER","PRINCETON BORO",0,1,1,"N","N",NA,"N","PROSPECT AVE","MURRAY PLACE",40.34964,-74.64826,2006,59,13,FALSE,FALSE
"02/02/2006","TH","10:27","03/07/1988","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","UNIVERSITY PLACE","ALEXANDER ST",40.34302,-74.6607,2006,17,10,TRUE,FALSE
"02/02/2006","TH","10:27","05/03/1977","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","UNIVERSITY PLACE","ALEXANDER ST",40.34302,-74.6607,2006,28,10,TRUE,FALSE
"10/03/2006","TU","14:25","12/28/1970","M","MERCER","PRINCETON BORO",0,1,3,"N","N",NA,"N","ROUTE 571","PROSPECT AVENUE",40.3475,-74.6548,2006,35,14,TRUE,FALSE
"10/03/2006","TU","14:25","04/28/1935","M","MERCER","PRINCETON BORO",0,1,3,"N","N",NA,"N","ROUTE 571","PROSPECT AVENUE",40.3475,-74.6548,2006,71,14,TRUE,FALSE
"10/03/2006","TU","14:25","02/23/1985","M","MERCER","PRINCETON BORO",0,1,3,"N","N",NA,"N","ROUTE 571","PROSPECT AVENUE",40.3475,-74.6548,2006,21,14,TRUE,FALSE
"10/10/2006","TU","11:57","03/02/1957","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","HODGE ROAD",40.35327,-74.6679,2006,49,11,TRUE,FALSE
"10/10/2006","TU","11:57","08/23/1974","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","HODGE ROAD",40.35327,-74.6679,2006,32,11,TRUE,FALSE
"10/12/2006","TH","18:44","10/17/1970","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","WITHERSPOON ST","SPRING STREET",40.35076,-74.66023,2006,36,18,TRUE,FALSE
"10/12/2006","TH","18:44","          "," ","MERCER","PRINCETON BORO",0,0,2,"N"," ",NA,"N","WITHERSPOON ST","SPRING STREET",40.35076,-74.66023,2006,NA,18,TRUE,FALSE
"10/13/2006","F","09:49","11/17/1945","F","MERCER","PRINCETON BORO",0,0,1,"N","N",NA,"N","ELM RD","CR 604",40.34854,-74.6764,2006,60,9,FALSE,FALSE
"10/16/2006","M","09:26","12/09/1964","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","MERCER COUNTY 604","HODGE ROAD",40.34703,-74.67526,2006,41,9,FALSE,FALSE
"10/16/2006","M","09:26","04/10/1959","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","MERCER COUNTY 604","HODGE ROAD",40.34703,-74.67526,2006,47,9,FALSE,FALSE
"10/16/2006","M","11:50","03/24/1982","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","CR 583",40.3485,-74.66382,2006,24,11,FALSE,FALSE
"10/16/2006","M","11:50","          "," ","MERCER","PRINCETON BORO",0,0,2,"N"," ",NA,"N","NJ 27","CR 583",40.3485,-74.66382,2006,NA,11,FALSE,FALSE
"10/16/2006","M","13:32","          "," ","MERCER","PRINCETON BORO",0,0,2,"N"," ",NA,"N","WITHERSPOON ST","PAUL ROBESON PLACE",40.35186,-74.66071,2006,NA,13,FALSE,FALSE
"10/16/2006","M","13:32","          "," ","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","WITHERSPOON ST","PAUL ROBESON PLACE",40.35186,-74.66071,2006,NA,13,FALSE,FALSE
"10/17/2006","TU","18:08","06/28/1959","F","MERCER","PRINCETON BORO",0,0,1,"N","N",NA,"N","HODGE RD","LIBRARY PLACE",40.34992,-74.67063,2006,47,18,TRUE,FALSE
"10/19/2006","TH","11:36","07/18/1969","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","ROUTE 583","LIBRARY PLACE",40.34494,-74.66594,2006,37,11,TRUE,FALSE
"10/19/2006","TH","11:36","07/17/1922","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","ROUTE 583","LIBRARY PLACE",40.34494,-74.66594,2006,84,11,TRUE,FALSE
"10/24/2006","TU","09:55","06/22/1962","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","MONUMENT DRIVE",40.35043,-74.66592,2006,44,9,TRUE,FALSE
"10/24/2006","TU","09:55","01/28/1987","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","MONUMENT DRIVE",40.35043,-74.66592,2006,19,9,TRUE,FALSE
"10/24/2006","TU","11:53","11/15/1972","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","CHAMBER STREET",40.34886,-74.66258,2006,33,11,TRUE,FALSE
"10/24/2006","TU","11:53","          "," ","MERCER","PRINCETON BORO",0,0,2,"N"," ",NA,"N","NJ 27","CHAMBER STREET",40.34886,-74.66258,2006,NA,11,TRUE,FALSE
"10/25/2006","W","08:44","01/24/1963","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","CHAMBERS STREET",40.34886,-74.66258,2006,43,8,FALSE,FALSE
